"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","a request to sign up with an existing email","AuthService pact tests","Tue Feb 25 16:04:54 UTC 2025","passed","Tue Feb 25 16:04:54 UTC 2025","","SignUp","",""
"","50","a request to sign up with a new email","AuthService pact tests","Tue Feb 25 16:04:54 UTC 2025","passed","Tue Feb 25 16:04:54 UTC 2025","","SignUp","",""
