"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","a request to sign up with an existing email","AuthService pact tests","Tue Feb 25 16:02:38 UTC 2025","passed","Tue Feb 25 16:02:38 UTC 2025","","SignUp","",""
"","54","a request to sign up with a new email","AuthService pact tests","Tue Feb 25 16:02:38 UTC 2025","passed","Tue Feb 25 16:02:38 UTC 2025","","SignUp","",""
